# 2018-03-29
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	up_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE63617_intercept	GSE36237_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE63617_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Sash1	-0.0122800683902649	0.0529162635381721	-0.232066052460534	-0.11678960453655	0.0922432384497261	0.816508324004658	0.591745837997671	0.999994187184675	0.946427802229951	6195	4684	0.0538417382424825	1	11.6957302855678	6.34920795706694	10.180955887348	11.9039311618236	-0.0122800683902649	-0.0122800683902649	-0.0122800683902649	-0.0122800683902649	NA	F	random_intercept
Evl	-0.00918497864914093	0.0395508051627809	-0.232232406175751	-0.0882880782093579	0.0698433906933728	0.816405828258253	0.591797085870874	0.999994187184675	0.946427802229951	6196	4683	0.0539029982475512	1	11.064358854463	NA	11.9600669057977	10.9199418708577	-0.00918497864914093	NA	-0.00918497864914093	-0.00918497864914093	NA	F	random_intercept
S100b	-0.016654339984941	0.0714609124400156	-0.233055238399324	-0.157794118978948	0.124493741114746	0.81573895391224	0.59213052304388	0.999994187184675	0.946427802229951	6197	4682	0.0543024745794298	1	11.2442235862386	6.01584665891284	12.87249232458	11.533385262505	-0.016654339984941	-0.016654339984941	-0.016654339984941	-0.016654339984941	NA	F	random_intercept
Aen	-0.0103935056902732	0.0445918753416231	-0.23308070384229	-0.09846830030652	0.0776802432974427	0.815718276976672	0.592140861511664	0.999994187184675	0.946427802229951	6198	4681	0.0543148854918698	1	8.27356789478893	5.87880357693402	10.699317943921	8.38489141902619	-0.0103935056902732	-0.0103935056902732	-0.0103935056902732	-0.0103935056902732	NA	F	random_intercept
Rps13	-0.0064734417862367	0.0277529708577952	-0.23325220998524	-0.0613528446901265	0.048479806978999	0.81568487477458	0.59215756261271	0.999994187184675	0.946427802229951	6199	4680	0.0543349376467432	1	12.9865922047919	12.9129314773337	NA	12.5942927716118	-0.0064734417862367	-0.0064734417862367	NA	-0.0064734417862367	NA	F	random_intercept
Fzd7	-0.0154507805167223	0.0662527163913712	-0.233209766456227	-0.146335764775473	0.115385816681863	0.815620884305078	0.592189557847461	0.999994187184675	0.946427802229951	6200	4679	0.0543733635809076	1	6.60401327551966	7.95952661551422	6.18315416143717	7.0448053212108	-0.0154507805167223	-0.0154507805167223	-0.0154507805167223	-0.0154507805167223	NA	F	random_intercept
Akap5	-0.0141921775749403	0.0608070968421923	-0.233396730183848	-0.135774740685685	0.107335114659634	0.815500866593324	0.592249566703338	0.999994187184675	0.946427802229951	6201	4678	0.0544454721946455	1	9.084082119847	NA	10.7428703417116	8.45500655433607	-0.0141921775749403	NA	-0.0141921775749403	-0.0141921775749403	NA	F	random_intercept
Zfp771	-0.00633382904978111	0.0271192876813948	-0.233554403205303	-0.0599003629777791	0.0472275324982044	0.815350109131749	0.592324945434126	0.999994187184675	0.946427802229951	6202	4677	0.0545361211526654	1	10.6628641803237	9.86830675832413	12.2778394529473	11.1019086361978	-0.00633382904978111	-0.00633382904978111	-0.00633382904978111	-0.00633382904978111	NA	F	random_intercept
Gna14	-0.0132041070097113	0.0564290168266157	-0.233994986130671	-0.124699176600869	0.0982271566809144	0.815018418119533	0.592490790940233	0.999994187184675	0.946427802229951	6203	4676	0.0547358436007102	1	4.96039500629101	6.52159464178281	5.24249142537605	5.19881113920265	-0.0132041070097113	-0.0132041070097113	-0.0132041070097113	-0.0132041070097113	NA	F	random_intercept
D11Wsu47e	-0.0103287980567553	0.0441393143347064	-0.234004497179828	-0.0975221882098552	0.0768417555458047	0.815001787049029	0.592499106475485	0.999994187184675	0.946427802229951	6204	4675	0.0547458678707002	1	5.99105044110075	8.81268283953847	7.98244664756691	5.98403744859829	-0.0103287980567553	-0.0103287980567553	-0.0103287980567553	-0.0103287980567553	NA	F	random_intercept
